premier-league,england premier-league results:
Chelsea,Kim
Leicester,Emil
Tottenham,Emil
Arsenal,Mads
Manchester utd,Soren
Bundesliga,tyskland Bundesliga results:
RB leipzig,Kim
Dortmund,Emil
Frankfurt,Mads
Hoffenheim,Mads
Leverkusen,Soren
laliga,spanien laliga results:
Barcelona,Kim
Real sociedad,Emil
Valencia,Mads
sevilla,Soren
serie-a,italien serie-a results:
Bologna,Kim
Atalanta,Emil
Ac Milan,Mads
juventus,Soren
Torino,Soren
Superliga,danmark Superliga results:
OB,Kim
AGF,Kim
Brndby IF,Emil
FC Kbenhavn,Mads
FC midtjylland,Soren
